month,cpi,inflation_yoy
2010-01-01,100.0,
2010-02-01,100.5,
2010-03-01,101.0,
2010-04-01,101.5,
2010-05-01,102.0,
2010-06-01,102.6,
2010-07-01,103.7,
2010-08-01,104.5,
2010-09-01,105.2,
2010-10-01,105.9,
2010-11-01,106.6,
2010-12-01,107.0,
2011-01-01,108.0,8.000000000000007
2011-02-01,108.5,7.9601990049751326
2011-03-01,109.0,7.920792079207928
2011-04-01,110.0,8.374384236453203
2011-05-01,111.0,8.823529411764696
2011-06-01,111.8,8.966861598440556
2011-07-01,113.0,8.968177434908387
2011-08-01,113.9,8.9952153110048
2011-09-01,114.7,9.030418250950568
2011-10-01,115.6,9.159584513692142
2011-11-01,116.0,8.818011257035652
2011-12-01,116.4,8.785046728971956
2012-01-01,117.5,8.796296296296301
2012-02-01,118.3,9.03225806451613
2012-03-01,119.5,9.633027522935777
2012-04-01,120.7,9.72727272727274
2012-05-01,121.8,9.72972972972972
2012-06-01,123.0,10.017889087656528
2012-07-01,124.7,10.353982300884956
2012-08-01,126.0,10.623353819139592
2012-09-01,127.5,11.159546643417606
2012-10-01,128.8,11.418685121107286
2012-11-01,129.8,11.89655172413795
2012-12-01,130.5,12.113402061855671
2013-01-01,131.7,12.085106382978704
2013-02-01,132.6,12.08791208791209
2013-03-01,133.4,11.631799163179913
2013-04-01,134.5,11.433305716652864
2013-05-01,135.5,11.24794745484401
2013-06-01,137.2,11.544715447154452
2013-07-01,139.5,11.868484362469921
2013-08-01,141.7,12.46031746031746
2013-09-01,143.8,12.784313725490204
2013-10-01,145.6,13.043478260869556
2013-11-01,146.8,13.097072419106315
2013-12-01,146.0,11.877394636015314
