,mean_abs_shap
FULPG_1.0,0.2963166273359983
HQFLOOR_1.0,0.2321479412534778
SAKITCHEN_1.0,0.18373425868740678
FU1_1.0,0.1641579527263731
WATER_1.0,0.15931595044275512
FHEADAGE,0.1565709878706647
HHEDUCM,0.11938489545189636
SATOILET_1.0,0.09058130749284957
HQWALL_1.0,0.08946589137707427
MHEADAGE,0.08005608304077841
ID11_2.0,0.07419759138479039
HHEDUCF,0.05846963278449663
HQROOF_1.0,0.057330289734788424
URBAN2011_1.0,0.056483608364152324
GROUPS_6.0,0.03962005099606957
HQ1,0.03569971065129666
HHEDUC,0.03495479080224488
ID13_4.0,0.03290182910153207
URBAN4_2011_1.0,0.03151022225528152
GROUPS_2.0,0.026601818765919476
METRO6_3.0,0.020570075043680944
ID13_5.0,0.017016649302009423
ID11_3.0,0.014697985514617207
URBAN4_2011_2.0,0.014545102747741569
URBAN4_2011_3.0,0.011617910372525703
ID13_2.0,0.011284717915583291
MG1_1.0,0.008726611341747884
METRO6_6.0,0.008314559747957648
METRO6_2.0,0.006866705571699259
ID13_3.0,0.0067567489031829
METRO_1.0,0.005075661275653173
ID11_4.0,0.004055209524419349
METRO6_5.0,0.003676612948240891
GROUPS_4.0,0.003313950936934633
GROUPS_5.0,0.002722961965512964
GROUPS_3.0,0.0019376742963283361
METRO6_4.0,0.0016727570081046571
METRO6_nan,0.0015006191206654623
FU1_nan,0.0013060870458614152
ID11_5.0,0.0012295842377419298
GROUPS_7.0,0.0009691713690828063
MG1_nan,0.0006407700082800533
FULPG_nan,0.000615467289211921
ID11_7.0,0.0005144020482032908
ID13_6.0,0.0004943941506156055
HQFLOOR_nan,0.0004908138907378511
WATER_nan,0.00026320105931934866
HQROOF_nan,0.0002531011848878581
HQWALL_nan,0.0002068448711428025
SAKITCHEN_nan,0.00014429208034768984
METRO_nan,0.0
GROUPS_nan,0.0
URBAN2011_nan,0.0
URBAN4_2011_nan,0.0
ID11_nan,0.0
ID13_nan,0.0
ID11_6.0,0.0
ID11_8.0,0.0
ID11_9.0,0.0
SATOILET_nan,0.0
