,importance
FULPG_1.0,0.12118181173737382
HQFLOOR_1.0,0.11508439623795903
SAKITCHEN_1.0,0.08029571947111419
HHEDUC,0.07659571885802488
FU1_1.0,0.07328103386861921
FHEADAGE,0.06158428381021024
HHEDUCM,0.05921882673320411
WATER_1.0,0.055742385828267085
MHEADAGE,0.05380688380764842
SATOILET_1.0,0.05096715358624204
HHEDUCF,0.04972247000338176
HQWALL_1.0,0.03606311759113865
ID11_2.0,0.02038588635743712
HQROOF_1.0,0.020105327213578415
GROUPS_6.0,0.018671993382659433
URBAN4_2011_3.0,0.01281358132808094
HQ1,0.010250460551421507
GROUPS_2.0,0.009500634679399309
URBAN2011_1.0,0.009337685710770918
URBAN4_2011_2.0,0.0074532190977350974
ID13_2.0,0.006488623957568997
URBAN4_2011_1.0,0.006020410410137245
GROUPS_4.0,0.005608920343813759
ID13_4.0,0.005525017200241956
ID13_3.0,0.005449680922249437
GROUPS_3.0,0.005299967676189556
METRO6_nan,0.002809614760034561
METRO_1.0,0.002798723355565985
MG1_1.0,0.0025678225548007925
ID11_3.0,0.0023181750970495342
ID13_5.0,0.0022170127927012844
GROUPS_5.0,0.0022131809042352344
METRO6_3.0,0.0021472257478533075
METRO6_2.0,0.0012733283157047315
GROUPS_7.0,0.0011365164745955648
METRO6_5.0,0.0007944670780502784
ID11_4.0,0.0006584767175610101
METRO6_6.0,0.0005472377420233409
HQFLOOR_nan,0.00040340394011922074
HQWALL_nan,0.0003977141606129884
HQROOF_nan,0.0003625142355009174
FU1_nan,0.00014910203235072786
ID13_6.0,0.0001130683034708226
MG1_nan,0.00010866629804662086
SATOILET_nan,0.00010299358597241001
FULPG_nan,0.00010278590060253124
METRO6_4.0,8.546460305425503e-05
WATER_nan,8.496414971372079e-05
SAKITCHEN_nan,4.9376114967738925e-05
ID11_7.0,4.7214924738643196e-05
ID11_6.0,2.9095308091263813e-05
ID11_5.0,2.3644700554243426e-05
ID13_nan,2.9998375610951623e-06
ID11_9.0,0.0
ID11_nan,0.0
ID11_8.0,0.0
METRO_nan,0.0
URBAN4_2011_nan,0.0
URBAN2011_nan,0.0
GROUPS_nan,0.0
