,perm_importance
FULPG_1.0,0.0132727810065018
HQFLOOR_1.0,0.010546201090331908
FU1_1.0,0.00802322080971798
FHEADAGE,0.007839923630759315
SAKITCHEN_1.0,0.0071448145225573075
WATER_1.0,0.004221460796756405
MHEADAGE,0.0032990741879767695
ID11_2.0,0.003111001431173155
GROUPS_6.0,0.0026220422671143994
HQWALL_1.0,0.0025309062396550175
HHEDUCM,0.0024186676587867107
URBAN4_2011_2.0,0.0010993830253461124
SATOILET_1.0,0.0009550155568823993
URBAN2011_1.0,0.0009417889564638182
HQROOF_1.0,0.0008713304309821534
METRO6_3.0,0.0005482163341764768
URBAN4_2011_1.0,0.000430852133108095
HHEDUCF,0.00042302618616851806
METRO6_nan,0.0003168133344134905
URBAN4_2011_3.0,0.00026895754386286886
GROUPS_5.0,0.00026675727763061376
METRO_1.0,0.0002443545669026159
METRO6_6.0,0.00021632617546720744
ID13_5.0,0.00019304835885145533
HQ1,0.00018239707004550355
METRO6_5.0,0.0001819720186142959
ID13_2.0,0.0001265403113777319
METRO6_2.0,7.17586828006267e-05
ID11_4.0,6.705811403184825e-05
ID11_3.0,6.483284477425411e-05
HQWALL_nan,3.920474377401284e-05
ID13_4.0,3.730451384620359e-05
MG1_1.0,3.5454289969116816e-05
HQFLOOR_nan,1.455176076305964e-05
HQROOF_nan,1.0951325110331034e-05
GROUPS_7.0,7.625922736642643e-06
MG1_nan,4.45053851516608e-06
ID11_5.0,7.000847102478502e-07
ID11_8.0,0.0
URBAN4_2011_nan,0.0
ID11_9.0,0.0
ID11_nan,0.0
URBAN2011_nan,0.0
GROUPS_nan,0.0
METRO_nan,0.0
ID11_7.0,-5.000605072913445e-07
ID13_6.0,-9.001089131821516e-07
ID13_nan,-2.100254130743551e-06
SAKITCHEN_nan,-4.950599022546243e-06
METRO6_4.0,-6.775819874138555e-06
SATOILET_nan,-1.3201597393286412e-05
FULPG_nan,-1.4701778915249264e-05
WATER_nan,-1.6251966487978998e-05
ID11_6.0,-1.7152075401050127e-05
FU1_nan,-2.1852644169961798e-05
HHEDUC,-8.343509564658901e-05
GROUPS_4.0,-9.086099418023074e-05
GROUPS_2.0,-0.00019487357970311426
ID13_3.0,-0.000285034489173186
GROUPS_3.0,-0.000440303276696441
